id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
242,a,,,5.5,208,131,0,0,0,0,0.3,312,105,0,0,1.1,355,164,0,0,0.0,467,182,0.0,2.9,0,0,0,0,0,2.0,,0.0,0.0,0.0,0.0,0.16,0.31,0.47,1.66,0.0,339,155,0.0,267,148,0.0,204,114,0.0,303,145,,,,1,,Tyrique,George,George,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.26,2.31,0.26,5.9,0,0,0
243,a,,,5.0,345,201,0,0,0,0,0.1,452,183,0,0,1.4,338,152,0,0,0.0,322,88,0.0,5.8,0,0,0,0,0,1.5,,0.0,0.0,0.0,0.0,0.16,0.07,0.23,1.8,0.0,308,139,0.0,188,124,0.0,186,102,0.0,266,128,,,,1,,Carlos,Alcaraz Durán,Alcaraz,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.4,1.33,0.8,9.28,0,0,0
244,a,,,5.0,380,228,0,0,0,0,0.1,463,189,0,0,1.6,324,142,0,0,0.0,357,115,0.0,4.2,0,0,0,0,0,1.5,,0.0,0.0,0.0,0.0,0.14,0.04,0.18,1.88,0.0,330,148,0.0,264,146,0.0,252,134,0.0,308,146,,,,1,,Harrison,Armstrong,Armstrong,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.17,1.89,1.03,8.59,0,0,0
245,a,,,5.5,193,119,0,0,0,0,0.0,502,210,0,0,1.3,346,158,0,0,0.0,452,170,0.0,3.3,0,0,0,0,0,2.0,,0.0,0.0,0.0,0.0,0.05,0.04,0.09,1.71,0.0,336,152,0.0,274,150,0.0,296,154,0.0,324,153,,,,1,,Tyler,Dibling,Dibling,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.52,0.52,1.03,10.32,0,0,0
246,a,,,5.0,350,203,0,0,0,0,0.1,477,197,0,0,2.2,270,115,0,0,0.0,327,90,0.0,7.2,0,0,0,0,0,1.5,,0.0,0.0,0.0,0.0,0.09,0.05,0.14,1.77,0.0,300,138,0.0,245,140,0.0,269,144,0.0,300,144,,,,1,,Merlin,Röhl,Röhl,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.27,1.73,0.8,9.07,0,0,0
247,a,,,5.5,151,94,0,0,0,0,0.3,305,100,0,0,0.0,565,242,0,0,0.0,410,145,0.0,0.0,0,0,0,0,0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565,242,0.0,565,242,0.0,564,242,0.0,565,242,,,,1,,Hayden,Hackney,Hackney,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
248,a,,,5.5,188,42,0,0,0,0,2.9,104,13,0,0,2.8,198,19,0,0,0.0,447,38,0.0,18.9,0,0,0,0,0,1.8,,0.0,0.0,0.0,0.0,0.52,0.01,0.53,1.4,0.0,131,13,0.0,194,19,0.0,26,14,0.0,81,14,,,4.0,1,,Norberto Bercique,Gomes Betuncal,Beto,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.29,1.1,0.99,5.16,0,0,0
249,a,,,5.5,217,44,0,0,0,0,1.2,176,27,0,0,2.5,238,25,0,0,0.0,476,40,0.0,17.3,0,0,0,0,0,1.8,,0.0,0.0,0.0,0.0,0.39,0.02,0.41,1.59,0.0,177,16,0.0,160,14,0.0,42,16,0.0,123,18,,,2.0,1,,Thierno,Barry,Barry,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.33,1.61,1.0,3.51,0,0,0
250,a,,,4.5,396,23,0,0,0,0,3.2,94,15,0,0,3.2,138,18,0,0,0.0,74,23,0.0,27.1,0,0,0,0,0,1.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,0.0,29,9,0.0,440,36,0.0,423,27,0.0,170,9,,,,1,,Bernd,Leno,Leno,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.58,0.24,1.34,1.0,0.0,0,0,0
251,a,,,4.0,529,52,0,0,0,0,1.3,169,24,0,0,0.0,406,36,0,0,0.0,7,6,0.0,0.0,0,0,0,0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400,36,0.0,384,19,0.0,365,10,0.0,402,36,,,,1,,Benjamin,Lecomte,Lecomte,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
